Short_Name,Name,Category,URL,Lat,Lon,Color
harvard,Harvard University,university,https://www.harvard.edu/,42.373032,-71.116661,green
mit,Massachusetts Institute of Technology,University,https://www.mit.edu/,42.360092,-71.094162,green
science,Museum of Science,Tourism,https://www.mos.org/,42.36932,-71.07151,green
children,Boston Children's Museum,Tourism,https://bostonchildrensmuseum.org/,42.3531,-71.04998,green
common,Boston Common,Tourism,https://www.boston.gov/parks/boston-common,42.3553,-71.06585,green
crossing,Downtown Crossing,Shopping,https://www.downtownboston.org/explore-downtown-boston/shopping,42.35551,-71.06041,green
market,Quincy Market,shopping,https://www.quincy-market.com/,42.36037,-71.05483,green
seaport,One Seaport,Shopping,https://www.bostonseaport.xyz/,42.35474,-71.04686,green
garden,TD Garden,Events,https://www.tdgarden.com/,42.36638,-71.06211,green
fenway,Fenway Park,Events,https://www.mlb.com/redsox/ballpark,42.34686,-71.09729,green
bu,Boston University,University,https://www.bu.edu/,42.350498,-71.1054,green